mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_classifier__colsample_bytree,param_classifier__learning_rate,param_classifier__max_depth,param_classifier__n_estimators,param_classifier__reg_lambda,param_classifier__subsample,params,split0_test_accuracy,split1_test_accuracy,split2_test_accuracy,mean_test_accuracy,std_test_accuracy,rank_test_accuracy,split0_test_precision_macro,split1_test_precision_macro,split2_test_precision_macro,mean_test_precision_macro,std_test_precision_macro,rank_test_precision_macro,split0_test_recall_macro,split1_test_recall_macro,split2_test_recall_macro,mean_test_recall_macro,std_test_recall_macro,rank_test_recall_macro,split0_test_f1_macro,split1_test_f1_macro,split2_test_f1_macro,mean_test_f1_macro,std_test_f1_macro,rank_test_f1_macro
3.3956802686055503,0.45283015604390375,0.4027133782704671,0.05081011748912169,0.8123620356542087,0.17254716573280354,5,221,1.5751320499779735,0.7468055921327309,"{'classifier__colsample_bytree': np.float64(0.8123620356542087), 'classifier__learning_rate': np.float64(0.17254716573280354), 'classifier__max_depth': 5, 'classifier__n_estimators': 221, 'classifier__reg_lambda': np.float64(1.5751320499779735), 'classifier__subsample': np.float64(0.7468055921327309)}",0.9719290726951304,0.9700005357047196,0.96849887495982,0.9701428277865567,0.0014039822893582115,1,0.9719712526256685,0.9700420976301602,0.9686135524090175,0.9702089675549487,0.0013758444352648341,2,0.9719288200725709,0.970000788160629,0.96849887495982,0.9701428277310066,0.001403866636302672,1,0.9719284345821337,0.9699998840577448,0.968496947630964,0.9701417554236142,0.0014044859765177111,1
8.911124229431152,1.1488603502625958,0.5581327279408773,0.08771763047131921,0.7467983561008608,0.011900590783184251,7,249,0.19307837536547137,0.8952665418846558,"{'classifier__colsample_bytree': np.float64(0.7467983561008608), 'classifier__learning_rate': np.float64(0.011900590783184251), 'classifier__max_depth': 7, 'classifier__n_estimators': 249, 'classifier__reg_lambda': np.float64(0.19307837536547137), 'classifier__subsample': np.float64(0.8952665418846558)}",0.9696791128729844,0.9670005892751915,0.9665166613093324,0.9677321211525028,0.0013908340755946938,9,0.969767787235738,0.9671053352209631,0.9667552289693975,0.9678761171420328,0.001345227466368944,9,0.969678745452149,0.9670009909518562,0.9665166613093324,0.9677321325711126,0.0013905922196722896,9,0.969677664791468,0.9669987594449058,0.9665123822664273,0.9677296021676004,0.0013917259499912809,9
4.009594043095906,0.6081569626343512,0.4791782697041829,0.08677766454664856,0.71692347370813,0.08696451105631693,4,341,9.647685075720101,0.8852444528883149,"{'classifier__colsample_bytree': np.float64(0.71692347370813), 'classifier__learning_rate': np.float64(0.08696451105631693), 'classifier__max_depth': 4, 'classifier__n_estimators': 341, 'classifier__reg_lambda': np.float64(9.647685075720101), 'classifier__subsample': np.float64(0.8852444528883149)}",0.9715540793914395,0.9686077034338673,0.967695274831244,0.9692856858855169,0.0016466811697077278,5,0.9716417258239991,0.9687039762837499,0.9678344947772004,0.9693933989616498,0.0016289525842350268,5,0.9715537148457802,0.9686080878963712,0.967695274831244,0.9692856925244652,0.0016464610250381297,5,0.9715527418375197,0.9686061097603255,0.967692871312072,0.9692839076366391,0.0016470595190938215,5
2.4170336723327637,0.3107311779757413,0.30136656761169434,0.04489616906062385,0.8834959481464842,0.010213944061855218,3,198,1.120854708422937,0.8199582915145766,"{'classifier__colsample_bytree': np.float64(0.8834959481464842), 'classifier__learning_rate': np.float64(0.010213944061855218), 'classifier__max_depth': 3, 'classifier__n_estimators': 198, 'classifier__reg_lambda': np.float64(1.120854708422937), 'classifier__subsample': np.float64(0.8199582915145766)}",0.9680184282423528,0.9653399046445599,0.9653916211293261,0.9662499846720797,0.0012506566660837892,10,0.9681381059302525,0.9655031192263928,0.9656097344846615,0.9664169865471023,0.0012177932642326405,10,0.9680180005510466,0.9653404067593004,0.9653916211293261,0.966250009479891,0.0012503333018809007,10,0.968016363046186,0.9653368929083497,0.965387567609175,0.9662469411879036,0.0012513412179875085,10
3.073662281036377,0.3775152134853557,0.3767378330230713,0.0720388306338907,0.7139996989640846,0.18487795918982847,5,204,9.25681899206688,0.8400288679743939,"{'classifier__colsample_bytree': np.float64(0.7139996989640846), 'classifier__learning_rate': np.float64(0.18487795918982847), 'classifier__max_depth': 5, 'classifier__n_estimators': 204, 'classifier__reg_lambda': np.float64(9.25681899206688), 'classifier__subsample': np.float64(0.8400288679743939)}",0.9717683612792629,0.9689291262656023,0.9689810350369656,0.9698928408606102,0.001326362509704208,3,0.971815441462466,0.9689764581975784,0.969076293645909,0.9699560644353178,0.001315409689285881,3,0.9717680943072649,0.9689293959372098,0.9689810350369656,0.9698928417604801,0.0013261713652020718,3,0.971767645376971,0.9689283550406225,0.968979460147382,0.9698918201883252,0.00132657278648225,3
2.425773779551188,0.15103476352726114,0.3330834706624349,0.04907534497208915,0.9579821220208962,0.0767539109585377,3,316,0.10629918194937636,0.9826605267054558,"{'classifier__colsample_bytree': np.float64(0.9579821220208962), 'classifier__learning_rate': np.float64(0.0767539109585377), 'classifier__max_depth': 3, 'classifier__n_estimators': 316, 'classifier__reg_lambda': np.float64(0.10629918194937636), 'classifier__subsample': np.float64(0.9826605267054558)}",0.9712862270316601,0.9683934215460438,0.9682845815921998,0.9693214100566346,0.0013900457649299739,4,0.9713644485258974,0.9684925501971609,0.9684400024443018,0.9694323337224534,0.0013663798951605367,4,0.9712858825738007,0.9683938117475239,0.9682845815921997,0.969321425304508,0.0013897966467233953,4,0.971285020523688,0.9683917683716063,0.9682819507076561,0.96931957986765,0.0013904993609332868,4
2.076587518056234,0.3896400683048693,0.3640464146931966,0.05342916218531665,0.8689864653536618,0.03172768832582949,4,202,0.2895927274708838,0.7723076398078035,"{'classifier__colsample_bytree': np.float64(0.8689864653536618), 'classifier__learning_rate': np.float64(0.03172768832582949), 'classifier__max_depth': 4, 'classifier__n_estimators': 202, 'classifier__reg_lambda': np.float64(0.2895927274708838), 'classifier__subsample': np.float64(0.7723076398078035)}",0.9701612471205872,0.9665184550275888,0.9669988213864781,0.967892841178218,0.0016159490708187233,8,0.9702658984245229,0.966633839598148,0.9672006879555508,0.9680334753260739,0.001595433887262677,8,0.9701608481333852,0.9665188767914382,0.9669988213864781,0.9678928487704339,0.0016156428104293092,8,0.9701595686562697,0.9665164067504669,0.9669952562406223,0.9678904105491197,0.0016164019910466212,8
3.7761728763580322,0.041679352942398974,0.4367050329844157,0.0060449916841916595,0.9049790556476374,0.06217616751968465,5,355,0.605509853930035,0.7546708263364187,"{'classifier__colsample_bytree': np.float64(0.9049790556476374), 'classifier__learning_rate': np.float64(0.06217616751968465), 'classifier__max_depth': 5, 'classifier__n_estimators': 355, 'classifier__reg_lambda': np.float64(0.605509853930035), 'classifier__subsample': np.float64(0.7546708263364187)}",0.9719826431670863,0.9701076766486313,0.9682845815921998,0.9701249671359724,0.0015097768209523285,2,0.9720521234231299,0.9701680509803257,0.9684188290240259,0.9702130011424938,0.0014836267355030817,1,0.9719823187997937,0.9701079807611666,0.9682845815921997,0.9701249603843868,0.0015096426386863545,2,0.9719815981966429,0.970106730840691,0.9682823090434194,0.9701235460269176,0.001510275277922342,2
4.5098239580790205,0.34912500654496653,0.30079054832458496,0.06162226934638646,0.9266084230952957,0.03573884768117847,4,409,0.23426581058204046,0.9908753883293675,"{'classifier__colsample_bytree': np.float64(0.9266084230952957), 'classifier__learning_rate': np.float64(0.03573884768117847), 'classifier__max_depth': 4, 'classifier__n_estimators': 409, 'classifier__reg_lambda': np.float64(0.23426581058204046), 'classifier__subsample': np.float64(0.9908753883293675)}",0.9708040927840574,0.9676970054106176,0.9675345548055287,0.9686785510000679,0.0015044475079770126,7,0.970883539346857,0.9677888295181778,0.967716347180583,0.9687962386818727,0.0014762410534527863,7,0.9708037454550188,0.9676973812611218,0.9675345548055287,0.9686785605072231,0.0015042022050272448,7,0.9708028456557642,0.9676954386541436,0.9675313998249642,0.9686765613782907,0.0015050007321909817,7
6.637052853902181,0.6091642349060611,0.32495586077372235,0.06593435576340165,0.9325398470083344,0.16684619386293467,6,419,2.8480262754225194,0.7979622306417505,"{'classifier__colsample_bytree': np.float64(0.9325398470083344), 'classifier__learning_rate': np.float64(0.16684619386293467), 'classifier__max_depth': 6, 'classifier__n_estimators': 419, 'classifier__reg_lambda': np.float64(2.8480262754225194), 'classifier__subsample': np.float64(0.7979622306417505)}",0.9708576632560133,0.9689291262656023,0.9675345548055287,0.9691071147757148,0.0013624787156061085,6,0.9708747560440969,0.968966899999713,0.967639781272357,0.969160479105389,0.0013277474900658427,6,0.9708575024638342,0.9689293672392552,0.9675345548055287,0.9691071415028727,0.0013623993666966024,6,0.9708573915313383,0.9689285119816329,0.9675327283910449,0.9691062106346721,0.0013630917938215362,6
