mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_classifier__max_depth,param_classifier__max_features,param_classifier__min_samples_leaf,param_classifier__min_samples_split,param_classifier__n_estimators,params,split0_test_accuracy,split1_test_accuracy,split2_test_accuracy,mean_test_accuracy,std_test_accuracy,rank_test_accuracy,split0_test_precision_macro,split1_test_precision_macro,split2_test_precision_macro,mean_test_precision_macro,std_test_precision_macro,rank_test_precision_macro,split0_test_recall_macro,split1_test_recall_macro,split2_test_recall_macro,mean_test_recall_macro,std_test_recall_macro,rank_test_recall_macro,split0_test_f1_macro,split1_test_f1_macro,split2_test_f1_macro,mean_test_f1_macro,std_test_f1_macro,rank_test_f1_macro
10.265891551971436,0.8825839152418465,1.784021298090617,0.14418194571864282,30,sqrt,3,4,271,"{'classifier__max_depth': 30, 'classifier__max_features': 'sqrt', 'classifier__min_samples_leaf': 3, 'classifier__min_samples_split': 4, 'classifier__n_estimators': 271}",0.9612685487759147,0.9610542668880913,0.9575699132111861,0.9599642429583973,0.001695305358069317,4,0.9626241032964209,0.9623959938806643,0.9592232349493046,0.9614144440421301,0.0015522148568522993,4,0.961267099418049,0.9610557102834483,0.9575699132111861,0.9599642409708945,0.0016952434254386192,4,0.9612400691045981,0.9610260809523106,0.957531689001035,0.9599326130193147,0.001699955850111719,4
17.14915704727173,0.3756049286545157,1.4965413411458333,0.28715840327298836,40,sqrt,3,3,414,"{'classifier__max_depth': 40, 'classifier__max_features': 'sqrt', 'classifier__min_samples_leaf': 3, 'classifier__min_samples_split': 3, 'classifier__n_estimators': 414}",0.9635720790700166,0.9623399582150318,0.9603557269902496,0.9620892547584328,0.0013249828533779715,2,0.9645683836051897,0.9633827714945933,0.9615462268721648,0.9631657939906493,0.001243293276652832,3,0.9635708392138312,0.9623412294263503,0.9603557269902496,0.9620892652101437,0.0013246008523935095,2,0.9635524682903522,0.9623188320903379,0.9603301461526372,0.9620671488444424,0.0013274909496239868,2
9.311484813690186,1.803093856012872,1.4543193181355794,0.26023031076839115,20,sqrt,4,6,299,"{'classifier__max_depth': 20, 'classifier__max_features': 'sqrt', 'classifier__min_samples_leaf': 4, 'classifier__min_samples_split': 6, 'classifier__n_estimators': 299}",0.9441259977500401,0.9343761718540741,0.9539804993035466,0.9441608896358868,0.00800347119564624,5,0.948362097471817,0.940391049257916,0.956297085443854,0.9483500773911956,0.00649361764344272,5,0.9441233946851985,0.934379302612609,0.9539804993035466,0.9441610655337848,0.008002199374706509,5,0.9439934839219903,0.9341516550743061,0.9539220156844068,0.9440223848935677,0.008071241792643569,5
12.530677080154419,0.45256014992384125,2.713304042816162,0.10825569458632708,20,log2,1,3,543,"{'classifier__max_depth': 20, 'classifier__max_features': 'log2', 'classifier__min_samples_leaf': 1, 'classifier__min_samples_split': 3, 'classifier__n_estimators': 543}",0.9270370171961215,0.921572829056624,0.9237651344690881,0.9241249935739445,0.0022452114878065113,7,0.9349410618914444,0.9303883520791154,0.9316449177526858,0.932324777241082,0.0019198000506634207,8,0.9270334067840266,0.9215766628783071,0.9237651344690881,0.9241250680438072,0.0022421979762142995,7,0.926703602271419,0.9211696416326518,0.9234156178237871,0.9237629539092861,0.002272540700783076,7
10.97244962056478,1.1581564041194612,3.0424462159474692,0.24348381068967231,30,log2,2,3,391,"{'classifier__max_depth': 30, 'classifier__max_features': 'log2', 'classifier__min_samples_leaf': 2, 'classifier__min_samples_split': 3, 'classifier__n_estimators': 391}",0.9277334333315477,0.9221085337761825,0.9223722275795564,0.9240713982290956,0.0025916866354015137,8,0.9355354598318337,0.9307474382044952,0.9310603779781862,0.932447758671505,0.0021870690687326604,7,0.9277298487496106,0.9221123274222665,0.9223722275795564,0.9240714679171446,0.002589040975529552,8,0.9274079264510675,0.9217164969799359,0.9219790939254076,0.923701172452137,0.002623262370329919,8
29.451661427815754,1.9052052290347408,2.9547781944274902,0.7511238886061972,30,sqrt,1,5,513,"{'classifier__max_depth': 30, 'classifier__max_features': 'sqrt', 'classifier__min_samples_leaf': 1, 'classifier__min_samples_split': 5, 'classifier__n_estimators': 513}",0.9638399314297958,0.963411367654149,0.9589092467588128,0.9620535152809192,0.002230207035498579,3,0.9648788531430879,0.9644005873214168,0.9603548648783113,0.963211435114272,0.0020293151034732324,2,0.9638386657462199,0.9634126044309963,0.9589092467588128,0.962053505645343,0.002230120328625864,3,0.9638196467439233,0.963391942496989,0.9588769628555893,0.9620295173655006,0.0022360206743502423,3
15.440681219100952,0.529300961560811,2.2865350246429443,0.02082258415488218,40,log2,1,2,258,"{'classifier__max_depth': 40, 'classifier__max_features': 'log2', 'classifier__min_samples_leaf': 1, 'classifier__min_samples_split': 2, 'classifier__n_estimators': 258}",0.9305190978732523,0.923072802271388,0.9230686810243223,0.9255535270563208,0.0035111892002226345,6,0.9376235715871325,0.9315189217192781,0.9315712979604384,0.9335712637556163,0.002865494127102116,6,0.9305156854870379,0.9230765500035114,0.9230686810243223,0.9255536388382906,0.003508698304544209,6,0.9302355810400142,0.9226949868971035,0.9226878892144645,0.9252061523838607,0.003556344288711664,6
12.175517956415812,2.2673531189492895,1.3439379533131917,0.7797466083314792,10,log2,4,5,470,"{'classifier__max_depth': 10, 'classifier__max_features': 'log2', 'classifier__min_samples_leaf': 4, 'classifier__min_samples_split': 5, 'classifier__n_estimators': 470}",0.9288048427706648,0.9136979696791129,0.9248901746490946,0.9224643290329575,0.006401455504600119,10,0.9363485481511624,0.9244690389936745,0.9325252316922182,0.931114272945685,0.004951349169268495,10,0.9288013213273029,0.9137022368173132,0.9248901746490946,0.9224645775979036,0.006398345049099929,10,0.9284953990559504,0.9131475797368569,0.9245572404463724,0.9220667397463932,0.006508498790828921,10
13.026654879252115,2.2310775235816696,2.4740822315216064,0.4495788641253458,20,log2,3,5,519,"{'classifier__max_depth': 20, 'classifier__max_features': 'log2', 'classifier__min_samples_leaf': 3, 'classifier__min_samples_split': 5, 'classifier__n_estimators': 519}",0.9272512990839449,0.9210371243370654,0.9236044144433729,0.9239642792881279,0.0025496560521053833,9,0.9351593117768653,0.9299494615060997,0.9315449709307252,0.9322179147378967,0.0021794915288750214,9,0.927247688672465,0.9210409811155749,0.923604414443373,0.923964361410471,0.002546628626050722,9,0.9269188633513854,0.9206262777177563,0.9232513649857792,0.9235988353516403,0.002580660152041541,9
50.539097706476845,1.3281792632607154,1.368711233139038,0.6575166921429667,,sqrt,1,4,334,"{'classifier__max_depth': None, 'classifier__max_features': 'sqrt', 'classifier__min_samples_leaf': 1, 'classifier__min_samples_split': 4, 'classifier__n_estimators': 334}",0.9716076498633953,0.9691434081534258,0.9689274616950605,0.9698928399039607,0.0012157543929463854,1,0.9717266374233182,0.9692578634171645,0.9691137825848364,0.9700327611417731,0.0011991948589080159,1,0.971607225052185,0.9691438270550129,0.9689274616950605,0.969892837934086,0.0012154686024394967,1,0.9716058408053793,0.969141546233025,0.9689243760695065,0.9698905877026368,0.00121610323707353,1
