mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__colsample_bytree,param_model__learning_rate,param_model__max_depth,param_model__n_estimators,param_model__reg_lambda,param_model__subsample,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,mean_train_score,std_train_score
1.471955378850301,0.02316880998139355,0.2115804354349772,0.0038812583060948407,0.8,0.05,3,150,1,0.8,"{'model__colsample_bytree': 0.8, 'model__learning_rate': 0.05, 'model__max_depth': 3, 'model__n_estimators': 150, 'model__reg_lambda': 1, 'model__subsample': 0.8}",0.9686051907275227,0.9695161619081805,0.9653346426345373,0.9678186650900802,0.0017954094784065615,23,0.9681481665097735,0.967666446995592,0.9690877063766292,0.9683007732939982,0.0005901757817182528
1.5162986119588215,0.022667404564240445,0.20506834983825684,0.004545054461020934,0.8,0.05,3,150,2,0.8,"{'model__colsample_bytree': 0.8, 'model__learning_rate': 0.05, 'model__max_depth': 3, 'model__n_estimators': 150, 'model__reg_lambda': 2, 'model__subsample': 0.8}",0.9683907690356421,0.9693552957649438,0.9651202537269538,0.9676221061758467,0.0018123699419834436,24,0.9680677475114994,0.9673180128147216,0.9690072756367036,0.9681310119876416,0.0006910880387180836
2.1083887418111167,0.04018188697938266,0.24376773834228516,0.00910525323404646,0.8,0.05,3,250,1,0.8,"{'model__colsample_bytree': 0.8, 'model__learning_rate': 0.05, 'model__max_depth': 3, 'model__n_estimators': 250, 'model__reg_lambda': 1, 'model__subsample': 0.8}",0.9692484288738046,0.9699985202340486,0.966513717968841,0.9685868890255648,0.0014975953915095513,20,0.9691669584634501,0.9687113959624114,0.9703202651768839,0.9693995398675819,0.0006770945869326254
2.053572495778402,0.007866180193475193,0.25521310170491535,0.004297650369384973,0.8,0.05,3,250,2,0.8,"{'model__colsample_bytree': 0.8, 'model__learning_rate': 0.05, 'model__max_depth': 3, 'model__n_estimators': 250, 'model__reg_lambda': 2, 'model__subsample': 0.8}",0.9691411693051681,0.9700520679183438,0.9663528123866886,0.9685153498700668,0.0015737133042866593,21,0.9689257317937825,0.9686042738468216,0.9701326721731942,0.9692208926045994,0.0006579464462483506
2.476161003112793,0.01772093816031723,0.27070411046346027,0.0051168178504913606,0.8,0.05,5,150,1,0.8,"{'model__colsample_bytree': 0.8, 'model__learning_rate': 0.05, 'model__max_depth': 5, 'model__n_estimators': 150, 'model__reg_lambda': 1, 'model__subsample': 0.8}",0.9695697082814981,0.9697310766784532,0.9664608639585113,0.9685872163061542,0.0015050007020217303,19,0.9698365876614519,0.969756626729762,0.9709097569963425,0.9701676571291854,0.0005257582443639885
2.502730369567871,0.021366441427621317,0.2638539473215739,0.006061815263152108,0.8,0.05,5,150,2,0.8,"{'model__colsample_bytree': 0.8, 'model__learning_rate': 0.05, 'model__max_depth': 5, 'model__n_estimators': 150, 'model__reg_lambda': 2, 'model__subsample': 0.8}",0.9693020841822213,0.9696237846340681,0.9662999838284088,0.9684086175482327,0.0014968021286426028,22,0.9695421051095854,0.96981006749619,0.970507946781487,0.9699533731290875,0.00040711580016053364
3.508770147959391,0.029932169353332906,0.33568286895751953,0.010081562871435714,0.8,0.05,5,250,1,0.8,"{'model__colsample_bytree': 0.8, 'model__learning_rate': 0.05, 'model__max_depth': 5, 'model__n_estimators': 250, 'model__reg_lambda': 1, 'model__subsample': 0.8}",0.969945176727973,0.9701065421008774,0.9677470338142063,0.9692662508810189,0.0010762667166225096,12,0.9711229634877496,0.9716859158439963,0.9720351522879176,0.9716146772065546,0.0003757909963320869
3.4844255447387695,0.03668533365075452,0.3408784866333008,0.011142502047524048,0.8,0.05,5,250,2,0.8,"{'model__colsample_bytree': 0.8, 'model__learning_rate': 0.05, 'model__max_depth': 5, 'model__n_estimators': 250, 'model__reg_lambda': 2, 'model__subsample': 0.8}",0.9698917253377224,0.9698924421728823,0.9672111633443534,0.9689984436183193,0.0012637980354851003,16,0.9712034100430322,0.9712036160870134,0.9715261851122877,0.9713110704141111,0.00015210908507215927
1.3245840072631836,0.029312733403406507,0.2083899180094401,0.004105220047483901,0.8,0.1,3,150,1,0.8,"{'model__colsample_bytree': 0.8, 'model__learning_rate': 0.1, 'model__max_depth': 3, 'model__n_estimators': 150, 'model__reg_lambda': 1, 'model__subsample': 0.8}",0.9698378767085473,0.9701059223312005,0.9665139809443262,0.9688192599946913,0.0016337473772476225,17,0.9698906049668834,0.9692477263903693,0.9706149785122244,0.9699177699564924,0.0005585087547357477
1.3662510712941487,0.01152878110316741,0.21910905838012695,0.018116774123456157,0.8,0.1,3,150,2,0.8,"{'model__colsample_bytree': 0.8, 'model__learning_rate': 0.1, 'model__max_depth': 3, 'model__n_estimators': 150, 'model__reg_lambda': 2, 'model__subsample': 0.8}",0.9695161619081805,0.9699451266992191,0.9665142316130195,0.9686585067401396,0.001526311362638114,18,0.9695956810020927,0.9691135828066613,0.9703739564658134,0.9696944067581891,0.0005192594222279274
