mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__alpha,param_model__class_weight,param_model__learning_rate,param_model__loss,param_model__penalty,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,mean_train_score,std_train_score
0.6752492586771647,0.017406468608968093,0.12335141499837239,0.020976542203766244,1e-05,,optimal,hinge,l2,"{'model__alpha': 1e-05, 'model__class_weight': None, 'model__learning_rate': 'optimal', 'model__loss': 'hinge', 'model__penalty': 'l2'}",0.9681694911260605,0.970696006932249,0.9683331356906342,0.9690662112496479,0.001154374393671741,2,0.9761289406953134,0.9848390393851523,0.9828300177392677,0.9812659992732445,0.0037238931347206507
5.1322736740112305,0.372438371786031,0.1054086685180664,0.01121659714453481,1e-05,,optimal,squared_hinge,l2,"{'model__alpha': 1e-05, 'model__class_weight': None, 'model__learning_rate': 'optimal', 'model__loss': 'squared_hinge', 'model__penalty': 'l2'}",0.9188354941624318,0.9406671646297856,0.9360990218699987,0.9318672268874053,0.009401649693176495,12,0.9490506643660965,0.9665917302563358,0.9656802525423869,0.9604408823882732,0.008062691769307689
0.7821453412373861,0.06407150665950644,0.11662499109903972,0.018425500071452144,1e-05,balanced,optimal,hinge,l2,"{'model__alpha': 1e-05, 'model__class_weight': 'balanced', 'model__learning_rate': 'optimal', 'model__loss': 'hinge', 'model__penalty': 'l2'}",0.9712850600802321,0.9698391231889172,0.9683331356906342,0.9698191063199278,0.0012052012022227777,1,0.9820798679934579,0.9844905227375857,0.9828300177392677,0.9831334694901038,0.0010072657039929486
4.284598747889201,1.0590161843732624,0.10551722844441731,0.009284206660859369,1e-05,balanced,optimal,squared_hinge,l2,"{'model__alpha': 1e-05, 'model__class_weight': 'balanced', 'model__learning_rate': 'optimal', 'model__loss': 'squared_hinge', 'model__penalty': 'l2'}",0.9336473362094293,0.9410422066328861,0.9360990218699987,0.9369295215707713,0.003075529706101212,11,0.9623183444519043,0.9668324803892323,0.9656802525423869,0.9649436924611745,0.0019150711701475813
0.4499523639678955,0.009561593094934229,0.09961764017740886,0.004787168537301675,0.0001,,optimal,hinge,l2,"{'model__alpha': 0.0001, 'model__class_weight': None, 'model__learning_rate': 'optimal', 'model__loss': 'hinge', 'model__penalty': 'l2'}",0.9672089425403467,0.9695141670328244,0.9679603574484266,0.9682278223405326,0.0009599194728593128,4,0.9713069728762422,0.9736393013420207,0.9732668522126753,0.9727377088103127,0.0010230456403204399
1.9608031113942463,0.03502632892532989,0.1142282485961914,0.015545607058649874,0.0001,,optimal,squared_hinge,l2,"{'model__alpha': 0.0001, 'model__class_weight': None, 'model__learning_rate': 'optimal', 'model__loss': 'squared_hinge', 'model__penalty': 'l2'}",0.9555320457449978,0.9584269418362128,0.9550471603025465,0.9563353826279192,0.0014921446342818193,8,0.9690569799295543,0.9734544180189074,0.9715801362834071,0.9713638447439563,0.0018017495127332758
0.45079755783081055,0.00777567504081856,0.1043089230855306,0.004064032599020657,0.0001,balanced,optimal,hinge,l2,"{'model__alpha': 0.0001, 'model__class_weight': 'balanced', 'model__learning_rate': 'optimal', 'model__loss': 'hinge', 'model__penalty': 'l2'}",0.9683899010062853,0.9694069335828648,0.9679603574484266,0.9685857306791922,0.0006065792466911884,3,0.9718710345339178,0.9730764782602286,0.9732668522126753,0.9727381216689405,0.0006180294681399646
1.953198512395223,0.02921582394986525,0.08979590733846028,0.012530763397049787,0.0001,balanced,optimal,squared_hinge,l2,"{'model__alpha': 0.0001, 'model__class_weight': 'balanced', 'model__learning_rate': 'optimal', 'model__loss': 'squared_hinge', 'model__penalty': 'l2'}",0.9551568692418063,0.9592303768593685,0.9550471603025465,0.9564781354679072,0.001946643867530879,7,0.9682798996238161,0.9733471804959706,0.9715801362834071,0.971069072134398,0.0021000355207515726
0.3599054018656413,0.009074643346476743,0.10816756884256999,0.0064327602683791505,0.001,,optimal,hinge,l2,"{'model__alpha': 0.001, 'model__class_weight': None, 'model__learning_rate': 'optimal', 'model__loss': 'hinge', 'model__penalty': 'l2'}",0.965813616424603,0.9677972081740099,0.9582360392596823,0.9639489546194318,0.0041200089391347046,5,0.966401649078282,0.966375899880041,0.9622376087196516,0.9650050525593249,0.001956906540028876
0.5776845614115397,0.04841811093942919,0.11082887649536133,0.004802112134009284,0.001,,optimal,squared_hinge,l2,"{'model__alpha': 0.001, 'model__class_weight': None, 'model__learning_rate': 'optimal', 'model__loss': 'squared_hinge', 'model__penalty': 'l2'}",0.9526409235497872,0.9485665016714095,0.9504975359015897,0.9505683203742622,0.0016641286492594962,9,0.9557207042266128,0.9479181184218911,0.9541956847319792,0.952611502460161,0.0033766167893093274
0.3431960741678874,0.012204359493476542,0.10409839948018391,0.0010867061006207006,0.001,balanced,optimal,hinge,l2,"{'model__alpha': 0.001, 'model__class_weight': 'balanced', 'model__learning_rate': 'optimal', 'model__loss': 'hinge', 'model__penalty': 'l2'}",0.9660282904731379,0.9673141777014367,0.9582360392596823,0.9638595024780856,0.004010891872350171,6,0.9664821147224901,0.9658657902119069,0.9622376087196516,0.9648618378846828,0.001872591432309248
0.438179890314738,0.05253851816061994,0.06619977951049805,0.008089372383603861,0.001,balanced,optimal,squared_hinge,l2,"{'model__alpha': 0.001, 'model__class_weight': 'balanced', 'model__learning_rate': 'optimal', 'model__loss': 'squared_hinge', 'model__penalty': 'l2'}",0.952748070781575,0.9480300021955592,0.9504975359015897,0.9504252029595746,0.0019268223990917609,10,0.9556937327031378,0.947408653855107,0.9541956847319792,0.9524326904300747,0.003604787979057213
