mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__class_weight,param_model__max_depth,param_model__max_features,param_model__min_samples_leaf,param_model__min_samples_split,param_model__n_estimators,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,mean_train_score,std_train_score
112.61294142405193,1.2767121060629951,3.975489854812622,0.16025802846796885,,,sqrt,1,2,200,"{'model__class_weight': None, 'model__max_depth': None, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 1, 'model__min_samples_split': 2, 'model__n_estimators': 200}",0.9699449196819157,0.9696773334040493,0.966352381248607,0.9686582114448573,0.001634123674324229,6,1.0,1.0,1.0,1.0,0.0
166.82696310679117,1.9672617283500524,5.1537948449452715,0.36394436362034654,,,sqrt,1,2,300,"{'model__class_weight': None, 'model__max_depth': None, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 1, 'model__min_samples_split': 2, 'model__n_estimators': 300}",0.969998191657987,0.9698917730356253,0.9658704286834625,0.9685867977923582,0.0019212542921433194,7,1.0,1.0,1.0,1.0,0.0
88.63121469815572,4.252420831980595,4.167272885640462,0.20002027377861223,,,sqrt,1,4,200,"{'model__class_weight': None, 'model__max_depth': None, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 1, 'model__min_samples_split': 4, 'model__n_estimators': 200}",0.9711236010021245,0.9707491253995434,0.9674247061321875,0.9697658108446184,0.0016624553026887757,1,0.9959821057117885,0.9963838956205939,0.9962232816593719,0.996196427663918,0.0001651254785677646
122.01450252532959,2.9163134614172748,4.4614503383636475,0.26144978695281185,,,sqrt,1,4,300,"{'model__class_weight': None, 'model__max_depth': None, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 1, 'model__min_samples_split': 4, 'model__n_estimators': 300}",0.970695059608482,0.9708026767272111,0.9672641301624978,0.9695872888327303,0.0016433086576311522,2,0.9963035358757186,0.9965446110137852,0.9962768519827032,0.9963749996240691,0.00012042708769959737
27.241541703542072,2.1497761682020675,3.3155954678853354,0.186269663024492,,,sqrt,2,2,200,"{'model__class_weight': None, 'model__max_depth': None, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 2, 'model__min_samples_split': 2, 'model__n_estimators': 200}",0.9673146055337927,0.966938705871456,0.9645260027963986,0.9662597714005491,0.001235526964116867,13,0.9681720886462781,0.9679565037345972,0.9697275534199639,0.9686187152669463,0.000788991233887304
38.39120181401571,0.6597680679658848,3.852578639984131,0.3234594098553666,,,sqrt,2,2,300,"{'model__class_weight': None, 'model__max_depth': None, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 2, 'model__min_samples_split': 2, 'model__n_estimators': 300}",0.9670992891276926,0.9666699150288618,0.9645260027963986,0.966098402317651,0.0011255874673588165,15,0.9685465382674221,0.967929365933553,0.9697273831137154,0.9687344291048969,0.0007459641055461877
24.870911995569866,1.8274974066923775,2.9555177688598633,0.06899005492968975,,,sqrt,2,4,200,"{'model__class_weight': None, 'model__max_depth': None, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 2, 'model__min_samples_split': 4, 'model__n_estimators': 200}",0.9673146055337927,0.966938705871456,0.9645260027963986,0.9662597714005491,0.001235526964116867,13,0.9681720886462781,0.9679565037345972,0.9697275534199639,0.9686187152669463,0.000788991233887304
32.48438413937887,0.37180293148634674,2.9635026454925537,0.27165246175465885,,,sqrt,2,4,300,"{'model__class_weight': None, 'model__max_depth': None, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 2, 'model__min_samples_split': 4, 'model__n_estimators': 300}",0.9670992891276926,0.9666699150288618,0.9645260027963986,0.966098402317651,0.0011255874673588165,15,0.9685465382674221,0.967929365933553,0.9697273831137154,0.9687344291048969,0.0007459641055461877
13.524605592091879,0.41643063934002517,2.227461655934652,0.24609779394350256,,20,sqrt,1,2,200,"{'model__class_weight': None, 'model__max_depth': 20, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 1, 'model__min_samples_split': 2, 'model__n_estimators': 200}",0.9573659479845872,0.9441066542885865,0.95267868501602,0.9513837624297312,0.005489980917244387,28,0.961366046219128,0.9476553771249483,0.9588091559209811,0.9559435264216858,0.00595284167844498
17.1736421585083,0.6046735637481829,2.1826515992482505,0.5398504903377417,,20,sqrt,1,2,300,"{'model__class_weight': None, 'model__max_depth': 20, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 1, 'model__min_samples_split': 2, 'model__n_estimators': 300}",0.9580067924868839,0.9565044898548578,0.956666156732624,0.9570591463581218,0.0006733295052002801,19,0.9608550405275176,0.9579480841936219,0.9614213878883018,0.9600748375364804,0.0015215117853167796
9.552417039871216,0.89274460606625,1.5708117485046387,0.07042077802647634,,20,sqrt,1,4,200,"{'model__class_weight': None, 'model__max_depth': 20, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 1, 'model__min_samples_split': 4, 'model__n_estimators': 200}",0.9580638404804557,0.9576345310404448,0.9525171406094284,0.9560718373767764,0.0025196532141898527,24,0.9594324615430188,0.9581935299988602,0.9584868919300236,0.9587042944906342,0.0005286370826933539
