model,best_cv_f1_macro,accuracy,precision_macro,recall_macro,f1_macro,precision_weighted,recall_weighted,f1_weighted
Logistic Regression,0.9701413288482866,0.9720714285714286,0.9721817552840051,0.9720714285714286,0.9720697970770752,0.9721817552840051,0.9720714285714286,0.9720697970770751
XGBoost,0.970213371190463,0.9698571428571429,0.9698964223621631,0.9698571428571429,0.9698565129197803,0.9698964223621632,0.9698571428571429,0.9698565129197803
Random Forest,0.9697658108446184,0.9697142857142858,0.9698220187796532,0.9697142857142858,0.969712549439824,0.9698220187796531,0.9697142857142858,0.9697125494398241
Linear SVM - SGDClassifier,0.9698191063199278,0.9666428571428571,0.9675421506153745,0.9666428571428571,0.9666268092354267,0.9675421506153745,0.9666428571428571,0.9666268092354267
