configuration,model,n_predictors,best_cv_f1_macro,accuracy,precision_macro,recall_macro,f1_macro,precision_weighted,recall_weighted,f1_weighted
full_model,Logistic Regression - full_model,11,0.9701413288482866,0.9720714285714286,0.9721817552840051,0.9720714285714286,0.9720697970770752,0.9721817552840051,0.9720714285714286,0.9720697970770751
without_gene,Logistic Regression - without_gene,10,0.9637434529536403,0.9629285714285715,0.9633656954953933,0.9629285714285715,0.9629198263723167,0.9633656954953933,0.9629285714285715,0.9629198263723167
without_gene_scores,Logistic Regression - without_gene_scores,8,0.924635958505379,0.9260714285714285,0.9338787760883966,0.9260714285714285,0.9257373523676887,0.9338787760883968,0.9260714285714285,0.9257373523676888
